"행정구역(시군구)별","항목","단위","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"양구군","남자인구수[명]","명","12176","12303","12158","11983","11824","11481","11344","11197","11089","10991","11159","11147","11135","11401","11758","12088","12540","12735","12936","12918","12768","12462","12082","11829","11464","11215","11063","10774",
"양구군","여자인구수[명]","명","11602","11724","11598","11437","11374","11046","10651","10495","10391","10278","10242","10156","10188","10442","10527","10711","11054","11153","11153","11092","11067","10946","10682","10449","10284","10168","9993","9847",
"인제군","총인구수[명]","명","34187","34288","34090","33618","33092","32447","32092","32443","32811","32493","32079","31620","31452","31842","31970","32456","32517","32475","33255","32720","32582","32136","31672","31694","32165","32206","32020","31535",
"인제군","남자인구수[명]","명","17483","17600","17518","17308","16976","16697","16635","16843","17144","16984","16829","16545","16382","16717","17014","17379","17345","17287","18020","17677","17579","17349","17143","17084","17461","17529","17422","17194",
"인제군","여자인구수[명]","명","16704","16688","16572","16310","16116","15750","15457","15600","15667","15509","15250","15075","15070","15125","14956","15077","15172","15188","15235","15043","15003","14787","14529","14610","14704","14677","14598","14341",
"고성군","총인구수[명]","명","37384","37319","36369","35391","34643","33721","32739","32361","31964","31285","30383","30172","30272","30112","30057","30124","30398","30269","30060","30114","30029","28144","27260","26757","27249","27274","27305","26999",
"고성군","남자인구수[명]","명","18775","18780","18272","17783","17419","17053","16554","16398","16231","15849","15443","15384","15578","15590","15635","15792","16184","16107","15981","15899","15817","14729","14114","13802","14019","14060","14018","13841",
"고성군","여자인구수[명]","명","18609","18539","18097","17608","17224","16668","16185","15963","15733","15436","14940","14788","14694","14522","14422","14332","14214","14162","14079","14215","14212","13415","13146","12955","13230","13214","13287","13158",
"양양군","총인구수[명]","명","30919","31103","30941","30141","30180","30076","29480","29187","29132","28661","28472","28115","27957","27929","27942","27802","27659","27521","27479","27218","27207","27347","27726","27946","27913","27866","27710","27489",
"양양군","남자인구수[명]","명","15429","15607","15531","15242","15274","15242","14957","14884","14791","14538","14478","14276","14226","14242","14282","14169","14130","14005","13965","13838","13849","13900","14099","14220","14251","14228","14192","14079",
"양양군","여자인구수[명]","명","15490","15496","15410","14899","14906","14834","14523","14303","14341","14123","13994","13839","13731","13687","13660","13633","13529","13516","13514","13380","13358","13447","13627","13726","13662","13638","13518","13410",
"충청북도","총인구수[명]","명","1470776","1484466","1492077","1497513","1496520","1492713","1489635","1488945","1488803","1494559","1506608","1519587","1527478","1549528","1562903","1565628","1572732","1578933","1583952","1591625","1594432","1599252","1600007","1600837","1597427","1595058","1593469","1591177",
"충청북도","남자인구수[명]","명","739652","746355","750330","752953","752588","750277","748957","749274","749832","752742","758967","765398","769968","781301","787981","789286","792862","796141","798896","803240","805091","808971","810384","811591","810672","810782","810448","809920",
"충청북도","여자인구수[명]","명","731124","738111","741747","744560","743932","742436","740678","739671","738971","741817","747641","754189","757510","768227","774922","776342","779870","782792","785056","788385","789341","790281","789623","789246","786755","784276","783021","781257",
